|A|B|C|D|E|F|G|H|I|
| 145965 |         python         | 1m40s  |   janel    | 0  | 1330MHz  | 34.0 C | 26.9 C |161.5 W |
| 145971 |         python         | 1m40s  |   janel    | 4  | 1330MHz  | 37.0 C | 26.9 C |214.4 W |
| 145975 |         python         | 1m40s  |   janel    | 8  | 1330MHz  | 33.7 C | 26.9 C |254.0 W |
| 145982 |         python         | 1m40s  |   janel    | 12 | 1330MHz  | 35.4 C | 27.0 C |244.2 W |
| 145965 |         python         | 1m40s  |   janel    | 0  | 1330MHz  | 34.0 C | 26.9 C |276.0 W |
| 145971 |         python         | 1m41s  |   janel    | 4  | 1330MHz  | 37.2 C | 26.9 C |170.6 W |
| 145975 |         python         | 1m41s  |   janel    | 8  | 1330MHz  | 33.8 C | 26.9 C |173.7 W |
| 145982 |         python         | 1m41s  |   janel    | 12 | 1330MHz  | 35.5 C | 27.0 C |241.0 W |
| 145965 |         python         | 1m42s  |   janel    | 0  | 1330MHz  | 34.1 C | 26.9 C |221.3 W |
| 145971 |         python         | 1m42s  |   janel    | 4  | 1330MHz  | 37.2 C | 26.9 C |299.5 W |
| 145975 |         python         | 1m42s  |   janel    | 8  | 1330MHz  | 34.1 C | 26.9 C |171.0 W |
| 145982 |         python         | 1m42s  |   janel    | 12 | 1330MHz  | 35.4 C | 27.0 C |258.9 W |
| 145965 |         python         | 1m45s  |   janel    | 0  | 1330MHz  | 34.1 C | 26.9 C |164.9 W |
| 145971 |         python         | 1m45s  |   janel    | 4  | 1330MHz  | 37.3 C | 26.9 C |233.3 W |
| 145975 |         python         | 1m45s  |   janel    | 8  | 1330MHz  | 34.1 C | 27.0 C |309.5 W |
| 145982 |         python         | 1m45s  |   janel    | 12 | 1330MHz  | 35.6 C | 27.1 C |261.0 W |
| 145965 |         python         | 1m46s  |   janel    | 0  | 1330MHz  | 34.2 C | 26.9 C |262.6 W |
| 145971 |         python         | 1m46s  |   janel    | 4  | 1330MHz  | 37.2 C | 26.9 C |242.4 W |
| 145975 |         python         | 1m46s  |   janel    | 8  | 1330MHz  | 34.1 C | 27.0 C |234.1 W |
| 145982 |         python         | 1m46s  |   janel    | 12 | 1330MHz  | 35.8 C | 27.1 C |243.6 W |
| 145965 |         python         | 1m47s  |   janel    | 0  | 1330MHz  | 34.5 C | 26.9 C |181.6 W |
| 145971 |         python         | 1m47s  |   janel    | 4  | 1330MHz  | 37.4 C | 26.9 C |164.3 W |
| 145975 |         python         | 1m47s  |   janel    | 8  | 1330MHz  | 34.4 C | 27.0 C |171.0 W |
| 145982 |         python         | 1m47s  |   janel    | 12 | 1330MHz  | 35.8 C | 27.1 C |238.1 W |
